,Code_postal,revenu_fiscal_moyen
71,2210.0,22476.94383490073
72,2220.0,23080.412712826335
73,2230.0,20544.90407673861
74,2240.0,24390.286359315593
75,2250.0,20338.958290946088
76,2260.0,20288.384084302324
77,2270.0,21526.737591809484
78,2290.0,24937.732796317603
79,2300.0,21423.72357206462
80,2310.0,26199.183364517776
81,2320.0,21607.829302653205
82,2330.0,26508.58382936508
83,2340.0,19905.33564720294
84,2350.0,20914.532862190812
85,2360.0,17589.068633353403
86,2370.0,22469.023440603894
87,2380.0,22541.01265822785
88,2390.0,18306.20842217484
89,2400.0,23771.85266262122
90,2410.0,22320.890657439446
91,2420.0,23426.87765810549
92,2430.0,21041.429386112042
93,2440.0,21941.70899808551
94,2450.0,21064.60974212034
95,2460.0,23830.429572529785
96,2470.0,21722.863523573204
97,2480.0,23725.656781987916
98,2490.0,27080.39653110048
99,2500.0,17703.6429755982
100,2510.0,18450.700543056635
101,2520.0,22735.3337182448
102,2540.0,24146.56190476191
103,2550.0,19192.799048751487
104,2570.0,28278.879120879126
105,2580.0,19811.87688098495
106,2590.0,26779.575204228742
107,2600.0,25206.8484408992
108,2610.0,24232.89009009009
109,2620.0,18247.9196969697
110,2630.0,19018.00408997955
111,2640.0,24042.1974522293
112,2650.0,24868.761658031086
113,2670.0,19703.384771573605
114,2680.0,27712.73042044518
115,2690.0,29397.831693989065
116,2700.0,19728.82578847876
117,2720.0,31276.77661431065
118,2760.0,30800.46884576098
119,2790.0,26629.31903485255
120,2800.0,19220.80895609189
121,2810.0,25947.844955991874
122,2820.0,22626.458941225515
123,2830.0,17254.659314875647
124,2840.0,24967.419089976054
125,2850.0,29128.400239664472
126,2860.0,28682.11794083749
127,2870.0,26758.875840662182
128,2880.0,24166.964848041014
129,3000.0,21718.016027915775
130,3100.0,19650.946622956333
131,3110.0,26038.582746143595
132,3120.0,18766.665862969665
133,3130.0,18090.476190476187
134,3140.0,20970.12214721955
135,3150.0,19839.968060993197
136,3160.0,20178.47414070029
137,3170.0,22727.743198407436
138,3190.0,22111.02147913107
139,3200.0,21077.655288082085
140,3210.0,22077.5237490475
141,3220.0,19397.290027810886
142,3230.0,22334.09932334461
143,3240.0,19903.616375344984
144,3250.0,17713.36850152905
145,3260.0,21228.733988838692
146,3270.0,22948.060006383657
147,3290.0,21249.27472899729
148,3300.0,23137.778689232364
149,3310.0,28575.790900290416
150,3320.0,19043.0852151683
151,3330.0,19204.127610208816
152,3340.0,23515.351899668018
153,3350.0,20132.253968253965
154,3360.0,17456.69080376539
155,3370.0,18812.057086614175
156,3380.0,23638.590465872152
157,3390.0,19146.47623666343
158,3400.0,25312.408621463852
159,3410.0,25348.327730104615
160,3420.0,22810.984147952448
161,3430.0,20130.175262054512
162,3440.0,17519.275291828795
163,3450.0,19882.823454429574
164,3460.0,25998.508483853308
165,3470.0,19519.64437984496
166,3500.0,21200.57971441189
167,3510.0,22343.88694127958
168,3600.0,19964.740399686518
169,3630.0,23096.44213543533
170,3700.0,27049.16736014794
171,3800.0,21312.287870989876
172,42620.0,21053.56842105263
173,4000.0,22285.16440217391
174,4100.0,24611.4799454689
175,4110.0,22425.57306226176
176,4120.0,20431.363391655454
177,4130.0,25468.094483888584
178,4140.0,20205.675970873788
179,4150.0,20935.978512396694
180,4160.0,21294.52430298544
181,4170.0,20719.954397394133
182,4180.0,25376.05993000875
183,4190.0,20816.529411764706
184,4200.0,22378.358329321138
185,4210.0,22668.073536087155
186,4220.0,23922.759985342615
187,4230.0,21915.87226082309
188,4240.0,19956.964705882354
189,4250.0,20534.464816650147
190,4260.0,21506.291878172586
191,4270.0,21199.684745762712
192,4280.0,22551.233153638812
193,4290.0,24232.288873531445
194,4300.0,21502.010258997645
195,4310.0,22263.589041095893
196,4320.0,21913.543604651164
197,4330.0,17582.376811594204
198,4340.0,20912.227979274616
199,4350.0,19788.98253275109
200,4360.0,22911.204128440368
201,4370.0,21574.117552334945
202,4380.0,19042.269165247017
203,4400.0,22827.084761607974
204,4410.0,20938.86805555555
205,4420.0,23985.480355819123
206,4500.0,21033.183177570096
207,4510.0,23949.14690320572
208,4530.0,20237.417857142857
209,4600.0,20860.347051955632
210,4660.0,26836.77853881279
211,4700.0,23242.103858185612
212,4800.0,23638.475497702908
213,4850.0,21937.4726443769
214,4860.0,38024.84039548023
215,4870.0,25082.30135135135
216,5110.0,24897.791111111113
217,5130.0,21182.80733944954
218,5160.0,21064.952380952385
219,6260.0,15537.084337349397
220,5000.0,25122.517258308162
221,5100.0,23649.771145833332
222,5110.0,22330.963016678754
223,5120.0,23617.154418197726
224,5130.0,22962.754541784416
225,5140.0,19851.794217687075
226,5150.0,16353.599721059973
227,5160.0,23147.242424242424
228,5170.0,23698.289699570814
229,5190.0,19175.356720202875
230,5200.0,23782.065298507467
231,5220.0,26077.20209580838
232,5230.0,24700.139076424515
233,5240.0,26660.655986509275
234,5250.0,22472.099818511797
235,5260.0,24219.22178130512
236,5290.0,26592.643312101914
237,5300.0,20776.060737527117
238,5310.0,21455.35914552737
239,5320.0,20062.354515050167
240,5330.0,27243.94019607843
241,5340.0,23644.37688442211
242,5350.0,22505.5032509753
243,5380.0,23373.382978723406
244,5400.0,22530.209698558323
245,5460.0,22108.64658634538
