,postal_code,med_std_living,population,nb_unemployed,labour_force,unemployment_rate,average_tax_revenue,nb_debtors,payeurs,payer_rate,debtor_ratio,dep
41,10700,20312.0,7648.0,533.2169689548457,3424.54020222218,15.57,24611.58642261353,1416,676,47.74011299435029,18.514644351464433,10
42,10800,22369.0,12985.0,710.7022044815035,6024.451765458354,11.8,28263.329550173014,1851,1020,55.10534846029174,14.2549095109742,10
43,1090,23369.0,8945.0,301.61106017988413,4413.350151000277,6.83,31484.669127225367,1750,1000,57.14285714285714,19.56400223588597,01
44,1100,20413.0,33508.0,2631.293883904145,15187.96511601939,17.32,24389.967820279297,11088,4733,42.68578643578644,33.09060522860213,01
45,11000,16795.0,46872.0,4846.8200761109665,20017.595109926067,24.21,20200.81289476409,17352,7636,44.00645458736745,37.01996927803379,11
46,1110,21276.0,6479.0,249.2527173664409,2841.525782539572,8.77,24012.573269823482,1774,802,45.20856820744081,27.380768637135358,01
47,11100,18623.0,55792.0,5172.558832011913,23506.40123718372,22.0,20753.13572210381,15710,6408,40.7893061744112,28.15815887582449,11
48,11110,19809.0,13249.0,994.5614042070002,5703.55204742629,17.44,23527.95907894737,2181,926,42.45758826226503,16.46161974488641,11
49,11120,18393.0,14545.0,1024.4885637848017,6297.833936215274,16.27,23117.0692317118,1917,876,45.6964006259781,13.179786868339633,11
50,11130,17984.0,5463.0,421.917565344544,2182.403582526046,19.33,20572.469075321493,1067,487,45.64198687910029,19.531393007505034,11
51,11140,15626.0,1058.0,87.55808045379459,430.4121599642916,20.34,16610.682567215954,209,97,46.41148325358851,19.754253308128547,11
52,11150,18214.0,7413.0,550.6897702761128,3145.160771534906,17.51,21230.434782608692,1315,542,41.21673003802282,17.739106974234453,11
53,11160,15820.0,6832.0,548.0390198238722,2593.6219046720457,21.13,18683.54996066089,1242,506,40.74074074074074,18.17915690866511,11
54,11170,18821.0,8996.0,568.6276395120666,4009.091592071511,14.18,21755.333877884423,1416,690,48.72881355932204,15.740329035126724,11
55,11190,16442.0,2930.0,208.7613008848737,1075.5635918237454,19.41,18326.473447344742,476,247,51.89075630252101,16.245733788395903,11
56,1120,24106.0,18487.0,936.5383921852417,9329.900728250092,10.04,29575.61631111565,4428,2368,53.477868112014455,23.951966246551628,01
57,11200,17788.0,29699.0,2308.548219067077,12308.455533940647,18.76,20225.447717589774,5346,2033,38.02843247287692,18.00060608101283,11
58,11210,17188.0,5627.0,584.0,2038.0,28.66,18607.11410675381,1517,655,43.17732366512853,26.959303358805762,11
59,11220,17469.0,3571.0,247.1863497341838,1484.817542931034,16.65,18555.46691327579,343,175,51.020408163265316,9.605152618314197,11
